bnf_code,squ
010102100BBANA0,g
1305020C0AAFEFE,g
0205052C0BBAEAH,unit
1001010AGBEABAC,unit
0206010F0AAA5A5,unit
0402010J0BBABAG,ml
091200000BFRLA0,unit
0403010R0AAAMAM,ml
0906040G0CNABCV,unit
0407020V0AAALAL,unit
0704020J0AAABAB,unit
0309010L0AAAXAX,ml
0407020C0AAAPAP,ml
091000000BBWYA0,unit
0408010U0AAABAB,unit
1304000F0AABABA,g
1002010Q0AABGBG,ml
1001010C0AAAMAM,unit
0205051I0AAAXAX,ml
0501070Y0BBAAAA,unit
1306030A0BBAAAA,g
0601012D0BGAJBW,unit
0206020T0AAA3A3,ml
190205500BCPJA0,ml
0101021C0AACYCY,ml
0901020D0BCAAAE,unit
0410030A0BBACAE,unit
090402000BBSTA0,g
0604012S0BDACBW,unit
0107010AAAAAFAF,g
0606020Y0BBAAAA,unit
040702040AAAEAE,unit
0603010I0AABHBH,ml
090401000BBDSA0,g
0310000N0BCAHAV,unit
0402010U0AAAQAQ,unit
0603020J0AABTBT,unit
0402010X0BBALAI,unit
1304000V0BKABCG,g
120305000BBAKA0,unit
0202020L0AABNBN,ml
0902021G0AAAQAQ,unit
0206040AEAAAEAE,unit
0601012V0BBAEAD,unit
0301020I0BEAAAF,unit
1001010C0AABCBC,ml
0904010A0BKAABF,unit
1203010Q0BLAAAP,g
0501030T0AAARAR,ml
090607000BBITA0,unit
0602010M0BFAAAD,unit
0206020C0BFAFAE,unit
190205500BCKDA0,g
1106000B0AAAYAY,ml
1304000F0AAFEFE,g
1310020Y0BEABA0,unit
0906040B0AAAIAI,unit
0407010H0BEALAC,ml
0407020K0AADXDX,ml
0501080W0BGABAE,unit
091200000BFPGA0,ml
090605000BBAHA0,unit
0904010AABDADAL,g
0606020R0AAAAAA,unit
030800000BDBQA0,g
0202010P0BBAAAA,unit
1305010AFBBAAAA,unit
0906040G0BWASEN,ml
1202020P0BJACAC,unit
0602010V0AABMBM,unit
0704060A0BBAAAA,unit
1405000C0BPABAM,unit
0601040E0AABBBB,ml
0407020M0AAAGAG,unit
1002010Q0AAAIAI,ml
0501020B0AAAEAE,unit
1001030C0AAAFAF,ml
0904010AABLAPAL,g
090603100BBEFA0,unit
090402000BBIIA0,unit
0409010W0BBACAC,unit
0906026M0AAAZAZ,ml
0905013G0BCABCX,unit
0403010J0AABLBL,ml
0906050P0BJAAAB,unit
0211000P0AABDBD,ml
0601040E0AAAVAV,ml
0205051F0BCAFCT,unit
091200000BDRJA0,unit
0301011R0BIAGBU,unit
0402010ABBBALBA,unit
0905013G0AAAEAE,unit
0407020A0BRACAG,unit
0905011K0AAARAR,unit
091200000BCWWDJ,unit
0803042E0AAADAD,ml
0601060D0DRAAA0,unit
1202010C0BDACAD,unit
090504100BBFTA0,unit
1106000B0AABMBM,ml
090401000BBNTA0,unit
0202020L0AACNCN,ml
0906040G0AABQBQ,unit
1307000M0BXACAV,g
0905013G0BCACAY,unit
0310000N0BCABAB,ml
0904010ALBBAIAA,g
0212000M0BFAAAD,unit
1002020J0AABMBM,ml
1107000C0BBABAE,unit
0403010N0AAAKAK,ml
1106000B0AAA7A7,ml
0309020AFBBAAAA,ml
0303020G0BBADAD,unit
130802000BBDQA0,unit
0504010U0BBABAB,unit
0906040N0AAAQAQ,unit
0402020G0AAAIAI,unit
1404000G0BGAAAJ,unit
090401000BBMVA0,unit
0309020ABBBAAAA,ml
0301011B0BBABAB,unit
140400070BCAAAA,unit
0906050T0BBAFAF,ml
130900000AAAXAX,g
0404000L0AAAPAP,ml
1001030A0BBAAAA,unit
0906040N0AAFGFG,ml
0801000T0AAAEAE,ml
0501014N0BBACAC,unit
0204000H0AAAQAQ,ml
090602800BBJHAG,unit
0404000M0AAAQAQ,unit
0206020F0AAAEAE,unit
0411000E0BEAAAF,unit
0904010H0BQAAAA,g
0704020J0AAAXAX,ml
0904010U0BVABAA,g
0701010L0AAAAAA,unit
0408010G0AAABAB,unit
1502010P0BCACA0,unit
0307000C0BEADAA,unit
090402000BBVYA0,g
1203030A0BBAHAA,unit
0601012F0BBACAC,unit
1103010ALBBAAAA,unit
1307000M0BQABA0,ml
0601022B0BNABAT,unit
040201060BCADAC,unit
0403040W0BBAFAT,unit
0205052I0BEACAC,unit
0207010G0BBAAAA,unit
0209000L0AAATAT,ml
0104020H0BBAAAA,unit
0106020P0BDABAF,unit
0601060D0BQADA0,unit
0906040N0AACPCP,unit
050102010BBAAAA,unit
0501020Q0BBACAC,ml
0904010U0BXAAAA,g
0309020Z0AAAAAA,ml
0606020A0BBADAC,unit
0411000F0BDACAE,unit
0407010F0AAAUAU,ml
0606020P0AAAJAJ,unit
0402010U0BCAAAH,unit
0410020B0BBBDCC,unit
0502000K0AABCBC,ml
040702040BBAAAA,unit
0401010Z0AAAGAG,ml
1304000V0CHACCI,g
0106040M0AAADAD,unit
130201000BBMCA0,ml
