month,pct,list_size
2017-09-01,08H,248161
2017-09-01,08J,207724
2017-09-01,08K,407185
2017-09-01,08L,327265
2017-09-01,08M,396086
2017-09-01,08N,314711
2017-09-01,08P,216372
2017-09-01,08Q,326298
2017-09-01,08R,225778
2017-09-01,08T,194375
2017-09-01,08V,317334
2017-09-01,08W,309632
2017-09-01,08X,399238
2017-09-01,08Y,247121
2017-09-01,09A,221052
2017-09-01,09C,132378
2017-09-01,09D,313479
2017-09-01,09E,221968
2017-09-01,09F,195435
2017-09-01,09G,512903
2017-09-01,09H,132498
2017-09-01,09J,266996
2017-09-01,09L,182333
2017-09-01,09N,224418
2017-09-01,09P,188511
2017-09-01,09W,298268
2017-09-01,09X,239444
2017-09-01,09Y,371506
2017-09-01,10A,205240
2017-09-01,10C,96707
2017-09-01,10D,112120
2017-09-01,10E,144686
2017-09-01,10G,141365
2017-09-01,10H,342852
2017-09-01,10J,225956
2017-09-01,10K,204839
2017-09-01,10L,144182
2017-09-01,10M,119201
2017-09-01,10N,110795
2017-09-01,10Q,733859
2017-09-01,10R,227072
2017-09-01,10T,159334
2017-09-01,10V,214684
2017-09-01,10W,144752
2017-09-01,10X,281765
2017-09-01,10Y,214271
2017-09-01,112,758
2017-09-01,11A,560385
2017-09-01,11C,155134
2017-09-01,11D,164084
2017-09-01,11E,203446
2017-09-01,11H,508580
2017-09-01,11J,797828
2017-09-01,11M,641361
2017-09-01,11N,572366
2017-09-01,11T,219661
2017-09-01,11X,572412
2017-09-01,12A,269018
2017-09-01,12D,234988
2017-09-01,12F,336360
2017-09-01,13P,723096
2017-09-01,13T,518652
2017-09-01,14L,629149
2017-09-01,99A,523651
2017-09-01,99C,218801
2017-09-01,99D,166434
2017-09-01,99E,277705
2017-09-01,99F,184929
2017-09-01,99G,188031
2017-09-01,99H,307178
2017-09-01,99J,490023
2017-09-01,99K,170441
2017-09-01,99M,226905
2017-09-01,99N,488179
2017-09-01,99P,923415
2017-09-01,99Q,292533
2017-10-01,00C,108136
2017-10-01,00D,291660
2017-10-01,00J,255989
2017-10-01,00K,296592
2017-10-01,00L,324350
2017-10-01,00M,295171
2017-10-01,00N,156760
2017-10-01,00P,284156
2017-10-01,00Q,174531
2017-10-01,00R,173253
2017-10-01,00T,308220
2017-10-01,00V,203438
2017-10-01,00X,182893
2017-10-01,00Y,253787
2017-10-01,01A,380744
2017-10-01,01C,208175
2017-10-01,01D,232300
2017-10-01,01E,215288
2017-10-01,01F,130864
2017-10-01,01G,270436
2017-10-01,01H,323791
2017-10-01,01J,164410
2017-10-01,01K,361529
2017-10-01,01R,184368
2017-10-01,01T,154335
2017-10-01,01V,124735
2017-10-01,01W,310932
2017-10-01,01X,197319
2017-10-01,01Y,247082
2017-10-01,02A,241314
2017-10-01,02D,106154
2017-10-01,02E,217669
2017-10-01,02F,262507
2017-10-01,02G,113581
2017-10-01,02H,326673
2017-10-01,02M,151735
2017-10-01,02N,158920
2017-10-01,02P,258859
2017-10-01,02Q,116870
2017-10-01,02R,332310
2017-10-01,02T,220270
2017-10-01,02V,216602
2017-10-01,02W,138608
2017-10-01,02X,319447
2017-10-01,02Y,303241
2017-10-01,03A,248282
2017-10-01,03C,380176
2017-10-01,03D,144106
2017-10-01,03E,162761
2017-10-01,03F,297237
2017-10-01,03G,279213
2017-10-01,03H,169488
2017-10-01,03J,192981
2017-10-01,03K,173929
2017-10-01,03L,262341
2017-10-01,03M,120211
2017-10-01,03N,601122
2017-10-01,03Q,353746
2017-10-01,03R,371577
2017-10-01,03T,249186
2017-10-01,03V,77641
2017-10-01,03W,329655
2017-10-01,03X,97564
2017-10-01,03Y,103960
2017-10-01,04C,401822
2017-10-01,04D,239826
2017-10-01,04E,192933
2017-10-01,04F,292436
2017-10-01,04G,679960
2017-10-01,04H,134327
2017-10-01,04J,292523
2017-10-01,04K,376455
2017-10-01,04L,151787
2017-10-01,04M,93916
2017-10-01,04N,126211
2017-10-01,04Q,133285
2017-10-01,04R,552947
2017-10-01,04V,390052
2017-10-01,04X,333178
2017-10-01,04Y,132604
2017-10-01,05A,510653
2017-10-01,05C,318918
2017-10-01,05D,141226
2017-10-01,05F,187099
2017-10-01,05G,218317
2017-10-01,05H,190929
2017-10-01,05J,177533
2017-10-01,05L,567408
2017-10-01,05N,308614
2017-10-01,05P,249073
2017-10-01,05Q,217542
2017-10-01,05R,284761
2017-10-01,05T,309590
2017-10-01,05V,148813
2017-10-01,05W,289875
2017-10-01,05X,184922
2017-10-01,05Y,284454
2017-10-01,06A,278410
